years_since_2000,population_k
10.272123,568.25323
24.049692,613.9513
9.485201,536.61194
13.711839,564.354
29.006077,629.49493
8.850394,555.13873
4.2688465,522.4702
6.605344,518.34753
10.841315,538.47815
7.882519,567.51654
7.216024,545.31305
21.059168,600.4435
17.549067,582.2095
10.199077,543.4142
3.3463292,530.9031
10.2771015,553.07227
8.669413,530.815
10.118715,560.1572
1.4681554,491.22498
18.231436,579.0087
3.9791465,518.2262
3.3180122,527.1037
2.7445025,507.53806
21.260756,611.7604
5.9695997,534.63824
8.808738,544.2861
26.75761,644.17426
22.964464,618.5923
23.600868,620.2262
0.7574022,501.0446
4.243503,526.2751
9.337335,535.3157
27.391464,639.48676
16.534506,583.93835
3.7815428,506.14874
15.093927,597.6186
3.349938,510.75793
11.7135105,555.27637
10.875374,536.64417
27.984924,630.01733
19.646051,611.98376
12.384433,558.0979
17.533932,593.09283
10.670017,554.32983
20.893505,603.02637
20.933458,599.36804
19.02819,619.5416
9.153346,526.6381
27.79726,635.2811
12.834451,567.58984
9.16025,561.36096
24.39471,630.8976
27.225851,643.18555
29.927397,663.8091
19.443874,594.2708
9.886592,546.63434
22.61838,614.23773
27.869318,658.40283
0.2874881,518.1514
13.141696,550.89813
4.770518,512.6284
17.795397,593.182
21.203772,601.4299
11.901181,550.2221
13.745143,546.8743
21.751661,611.3018
12.478954,562.14105
2.4033074,503.4985
27.002039,615.52496
7.4502826,522.0014
13.352122,567.0388
16.414896,582.9852
14.098547,554.3631
0.8897102,486.98508
21.882,634.7489
8.186527,537.8619
7.220106,536.1894
18.583733,577.3679
7.1720695,538.22015
8.067606,535.8724
9.945751,567.6729
9.364836,544.7111
8.735438,536.4212
10.954712,543.2462
18.898136,605.2541
2.861731,489.83023
5.920796,537.2743
15.218872,566.7222
17.086021,579.4831
23.284388,621.78503
4.4633408,531.69366
19.787954,596.4286
23.525846,627.6412
23.328903,607.9343
1.0286772,517.35876
9.275937,543.24243
2.106516,519.04565
5.5078287,514.8121
23.354744,620.71704
12.760214,565.4383
21.37067,617.5992
6.1949053,539.341
17.279398,586.6355
5.927131,514.4319
22.49838,621.7817
8.439315,539.65704
11.238613,555.3163
1.9855303,508.37677
15.049553,587.3489
29.242203,624.79956
22.280672,608.007
6.9968853,535.0577
15.201731,571.5123
13.355273,562.6995
2.9238868,523.73
26.761366,627.1535
15.24181,563.2136
18.158955,586.64185
8.942565,539.54706
7.9812136,533.02435
17.473343,615.852
20.545664,595.30414
18.36447,595.5349
7.7708244,542.39655
29.563467,648.72314
12.791934,577.48376
5.813774,517.73083
7.98431,538.5087
29.766312,668.1402
15.000723,567.5403
12.963837,564.70776
8.757573,561.93976
11.067819,561.4052
2.366572,517.7968
3.0797482,520.7607
23.779343,631.2467
27.831741,641.98395
29.314507,638.4539
4.1708655,514.46985
23.11295,622.93695
5.7155013,540.0629
23.948404,627.0009
25.823315,626.17993
26.608065,626.7536
25.80077,638.1456
24.383598,631.09424
15.291955,582.2764
21.892237,611.1751
9.633436,560.90643
21.531523,621.10767
10.17897,579.7137
14.74813,562.06866
1.9443172,501.4762
11.077881,530.6272
7.111906,528.69556
9.940187,549.74225
5.421202,519.21423
1.5083367,514.2648
15.9767475,570.16943
24.734688,625.20166
28.661242,644.302
23.753313,605.58124
7.2249393,526.1027
0.16485393,498.15845
20.689707,607.57904
23.404709,627.9487
2.1223192,499.04645
20.378792,610.90393
27.682158,635.13617
15.9086485,574.0706
5.9631176,528.7503
27.298145,634.66254
21.40524,614.7527
24.933018,631.07086
4.8557177,541.79016
23.729183,620.60486
4.7538953,516.6444
29.842415,641.6341
8.644504,537.1657
24.038506,620.176
18.003624,585.18964
18.975157,584.07446
12.699675,566.2027
21.16103,593.9867
8.748422,547.1048
0.86131096,494.7869
9.236954,545.3195
26.753078,642.08594
11.050955,564.32477
19.714777,598.96515
9.454103,553.85876
26.25224,628.29456
23.977354,609.73334
20.295204,593.38586
7.332575,531.53094
2.7430522,505.62772
15.564741,588.9482
6.2001333,532.19434
27.332907,626.33295
0.5853635,508.7648
21.703024,613.1941
29.95371,662.8597
22.512426,625.45807
20.114681,619.2601
0.5678004,499.94247
29.428398,641.98895
12.434286,549.9089
0.9838736,503.7859
29.807442,646.5805
8.89604,555.9318
13.938786,588.0219
28.729193,652.63806
4.6019893,522.3384
4.3876505,519.9313
17.43926,593.58264
12.992191,560.59955
18.455128,594.16486
2.4194205,518.6307
15.4486,579.9152
8.328604,558.2585
7.625867,533.5378
1.2654465,491.40817
22.953276,617.5356
17.889547,600.028
2.3183513,521.0471
26.903278,634.893
19.524313,614.1441
17.783447,584.23615
6.192954,517.89386
17.262068,583.58167
29.453102,643.78076
25.288267,627.18317
3.3169465,509.33768
28.692318,647.1872
16.162647,586.4175
22.214478,586.80225
26.650145,630.66113
27.787638,643.41705
3.3069777,529.936
28.134958,655.78375
4.8123765,544.7085
16.12449,577.35754
4.518546,505.28534
11.711501,555.2713
14.318359,558.71985
13.20547,560.6136
12.630362,552.5892
16.183058,583.32837
29.79628,655.61194
23.715174,608.771
23.39205,626.68353
21.003712,581.0569
26.612717,633.2437
14.307765,584.078
16.192684,584.6895
18.086956,571.3299
1.9180423,508.12024
2.9166465,515.80084
16.839022,582.57404
9.131247,550.5565
14.724753,582.7363
11.558118,575.71674
17.334942,596.86365
24.759233,605.47894
10.025372,555.6935
27.012909,641.3234
26.843426,643.9935
3.4875278,524.6984
3.416607,529.5483
2.8638768,520.7087
6.7796965,537.70184
9.160856,526.1754
13.870958,567.748
11.352118,534.61475
7.421272,524.12384
10.234596,546.56476
9.5738325,546.1417
29.715572,654.6197
9.440567,546.1051
4.2599864,522.2649
21.235464,588.1691
14.133576,556.2781
26.48346,613.65784
24.37249,611.5574
28.780933,633.4595
4.014607,525.6208
24.64295,611.3316
27.588581,632.5268
7.5925274,539.0395
28.787699,634.3928
26.244644,628.4003
15.164268,586.8075
22.232286,614.4105
9.755677,561.96844
1.917243,503.7251
18.7917,601.7683
19.471878,618.4193
5.196615,541.18744
22.274994,617.2088
2.1866603,509.42743
